,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
2484,TC-IM-330a.3aa,Percentage of all other employees whose racial/ethnic group representation is not available or not disclosed
2485,TC-IM-330a.3b,Percentage of management who are male
2486,TC-IM-330a.3bb,The entity shall discuss its policies and programs for fostering equitable employee representation across its global operations
2487,TC-IM-330a.3c,Percentage of management whose gender is not available or not disclosed
2488,TC-IM-330a.3d,Percentage of technical staff who are female
2489,TC-IM-330a.3e,Percentage of technical staff who are male
2490,TC-IM-330a.3f,Percentage of technical staff whose gender is not available or not disclosed
2491,TC-IM-330a.3g,Percentage of all other employees who are female
2492,TC-IM-330a.3h,Percentage of all other employees who are male
2493,TC-IM-330a.3i,Percentage of all other employees whose gender is not available or not disclosed
2494,TC-IM-330a.3j,Percentage of management who are Asian
2495,TC-IM-330a.3k,Percentage of management who are Black or African American
2496,TC-IM-330a.3l,Percentage of management who are Hispanic or Latino
2497,TC-IM-330a.3m,Percentage of management who are White
2498,TC-IM-330a.3n,"Percentage of management whose racial/ethnic group representation is classified as ""Other"""
2499,TC-IM-330a.3o,Percentage of management whose racial/ethnic group representation is not available or not disclosed
2500,TC-IM-330a.3p,Percentage of technical staff who are Asian
2501,TC-IM-330a.3q,Percentage of technical staff who are Black or African American
2502,TC-IM-330a.3r,Percentage of technical staff who are Hispanic or Latino
2503,TC-IM-330a.3s,Percentage of technical staff who are White
2504,TC-IM-330a.3t,"Percentage of technical staff whose racial/ethnic group representation is classified as ""Other"""
2505,TC-IM-330a.3u,Percentage of technical staff whose racial/ethnic group representation is not available or not disclosed
2506,TC-IM-330a.3v,Percentage of all other employees who are Asian
2507,TC-IM-330a.3w,Percentage of all other employees who are Black or African American
2508,TC-IM-330a.3x,Percentage of all other employees who are Hispanic or Latino
2509,TC-IM-330a.3y,Percentage of all other employees who are White
2510,TC-IM-330a.3z,"Percentage of all other employees whose racial/ethnic group representation is classified as ""Other"""
2511,TC-IM-520a.1a,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
2512,TC-IM-520a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2513,TC-SC-000.Aa,Total production
2514,TC-SC-000.Ba,Percentage of production from owned facilities
2515,TC-SC-110a.1a,Gross global Scope 1 emissions
2516,TC-SC-110a.1b,Amount of total emissions from perflourinated carbons
2517,TC-SC-110a.2a,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
2518,TC-SC-130a.1a,Total energy consumed
2519,TC-SC-130a.1b,Percentage of total energy consumed that is grid electricity
2520,TC-SC-130a.1c,Percentage of total energy consumed that is renewable
2521,TC-SC-140a.1a,Total water withdrawn
2522,TC-SC-140a.1b,Total water consumed
2523,TC-SC-140a.1c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
2524,TC-SC-140a.1d,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress
2525,TC-SC-150a.1a,Amount of hazardous waste from manufacturing
2526,TC-SC-150a.1b,Percentage of hazardous waste from manufacturing that is recycled
2527,TC-SC-150a.1c,"The entity shall disclose the legal or regulatory framework(s) used to define hazardous waste and recycled hazardous waste, and the amounts of waste defined in accordance with each applicable framework"
2528,TC-SC-320a.1a,"Discussion of efforts to assess, monitor, and reduce exposure of employees to human health hazards"
2529,TC-SC-320a.2a,Total amount of monetary losses as a result of legal proceedings associated with employee health and safety violations
2530,TC-SC-320a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2531,TC-SC-330a.1a,Percentage of employees that are foreign nationals
2532,TC-SC-330a.1b,Percentage of employees that are located offshore
2533,TC-SC-330a.1c,"Disclosure shall include a description of potential risks of recruiting foreign nationals and/or offshore employees, and management approach to addressing these risks"
2534,TC-SC-410a.1a,Percentage of products by revenue that contain IEC 62474 declarable substances
2535,TC-SC-410a.1b,Disclosure shall include a discussion of efforts to minimize usage of these substances
2536,TC-SC-410a.2a,Processor energy efficiency at a system-level for servers
2537,TC-SC-410a.2b,Processor energy efficiency at a system-level for desktops
2538,TC-SC-410a.2c,Processor energy efficiency at a system-level for laptops
2539,TC-SC-410a.2d,"Disclosure shall include a discussion of efforts to design for new and emerging usage patterns with respect to energy efficiency in all product categories (i.e., applications for servers, desktops, laptops, workstations, netbooks, tablets, mobile phones, and storage)."
2540,TC-SC-440a.1a,Description of the management of risks associated with use of critical materials
2541,TC-SC-520a.1a,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
2542,TC-SC-520a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2543,TC-SI-000.Aa,Number of licenses or subscriptions
2544,TC-SI-000.Ab,Percentage of licenses or subscriptions that are cloud-based
2545,TC-SI-000.Ba,"Data processing capacity, percentage outsourced"
2546,TC-SI-000.Bb,Percentage of processing capacity that is outsourced
2547,TC-SI-000.Ca,"Petabytes of data storage, percentage outsourced"
2548,TC-SI-000.Cb,Percentage of data storage outsourced
2549,TC-SI-130a.1a,Total energy consumed
2550,TC-SI-130a.1b,Percentage of total energy consumed that is grid electricity
2551,TC-SI-130a.1c,Percentage of total energy consumed that is renewable
2552,TC-SI-130a.2a,Total water withdrawn
2553,TC-SI-130a.2b,Total water consumed
2554,TC-SI-130a.2c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
2555,TC-SI-130a.2d,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
2556,TC-SI-130a.3a,Description of the integration of environmental considerations into strategic planning for data center needs
2557,TC-SI-220a.1a,Description of policies and practices relating to behavioral advertising and user privacy
2558,TC-SI-220a.2a,Number of users whose information is used for secondary purposes
2559,TC-SI-220a.3a,Total amount of monetary losses as a result of legal proceedings associated with user privacy
2560,TC-SI-220a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2561,TC-SI-220a.4a,Number of law enforcement requests for user information
2562,TC-SI-220a.4b,Number of users whose information was requested
2563,TC-SI-220a.4c,Percentage of government or law enforcement requests for customer information resulting in disclosure
2564,TC-SI-220a.5a,"List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring"
2565,TC-SI-220a.5b,"Disclosure shall include a description of the extent of the impact in each case and, where relevant, a discussion of the entity’s policies and practices related to freedom of expression."
2566,TC-SI-230a.1a,Number of data breaches
2567,TC-SI-230a.1b,Percentage of data breaches involving personally identifiable information (PII)
2568,TC-SI-230a.1c,Number of users affected
2569,TC-SI-230a.1d,Disclosure shall include a description of corrective actions implemented in response to data breaches
2570,TC-SI-230a.2a,"Description of approach to identifying and addressing data security risks, including use of third-party cybersecurity standards"
2571,TC-SI-330a.1a,Percentage of employees that are foreign nationals
2572,TC-SI-330a.1b,Percentage of employees that are located offshore
2573,TC-SI-330a.1c,"Disclosure shall include a description of potential risks of recruiting foreign nationals and/or offshore employees, and management approach to addressing these risks."
2574,TC-SI-330a.2a,Employee engagement as a percentage
2575,TC-SI-330a.2b,Disclosure shall include a description of methodology employed.
2576,TC-SI-330a.3a,Percentage of management who are female
2577,TC-SI-330a.3aa,Percentage of all other employees whose racial/ethnic group representation is not available or not disclosed
2578,TC-SI-330a.3b,Percentage of management who are male
2579,TC-SI-330a.3bb,The entity shall describe its policies and programs for fostering equitable employee representation across its global operations
2580,TC-SI-330a.3c,Percentage of management whose gender is not available or not disclosed
2581,TC-SI-330a.3d,Percentage of technical staff who are female
2582,TC-SI-330a.3e,Percentage of technical staff who are male
2583,TC-SI-330a.3f,Percentage of technical staff whose gender is not available or not disclosed
2584,TC-SI-330a.3g,Percentage of all other employees who are female
2585,TC-SI-330a.3h,Percentage of all other employees who are male
2586,TC-SI-330a.3i,Percentage of all other employees whose gender is not available or not disclosed
2587,TC-SI-330a.3j,Percentage of management who are Asian
2588,TC-SI-330a.3k,Percentage of management who are Black or African American
2589,TC-SI-330a.3l,Percentage of management who are Hispanic or Latino
2590,TC-SI-330a.3m,Percentage of management who are White
2591,TC-SI-330a.3n,"Percentage of management whose racial/ethnic group representation is classified as ""Other"""
2592,TC-SI-330a.3o,Percentage of management whose racial/ethnic group representation is not available or not disclosed
2593,TC-SI-330a.3p,Percentage of technical staff who are Asian
2594,TC-SI-330a.3q,Percentage of technical staff who are Black or African American
2595,TC-SI-330a.3r,Percentage of technical staff who are Hispanic or Latino
2596,TC-SI-330a.3s,Percentage of technical staff who are White
2597,TC-SI-330a.3t,"Percentage of technical staff whose racial/ethnic group representation is classified as ""Other"""
2598,TC-SI-330a.3u,Percentage of techical staff whose racial/ethnic group representation is not available or not disclosed
2599,TC-SI-330a.3v,Percentage of all other employees who are Asian
2600,TC-SI-330a.3w,Percentage of all other employees who are Black or African American
2601,TC-SI-330a.3x,Percentage of all other employees who are Hispanic or Latino
2602,TC-SI-330a.3y,Percentage of all other employees who are White
2603,TC-SI-330a.3z,"Percentage of all other employees whose racial/ethnic group representation is classified as ""Other"""
2604,TC-SI-520a.1a,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
2605,TC-SI-520a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
